Key,en,es,fr,pt,de,af,zu,st
"back","Back","","","","","","",""
"ok","OK","","","","","","",""
"cancel","Cancel","","","","","","",""
"save","Save","","","","","","",""
"app.name","EduDash","","","","","","",""
"app.tagline","Empowering Education Through AI","","","","","","",""
"app.version","1.0.0","","","","","","",""
"common.all","All","","","","","","",""
"common.last_7_days","Last 7 days","","","","","","",""
"common.last_30_days","Last 30 days","","","","","","",""
"common.all_time","All time","","","","","","",""
"common.custom_range","Custom range","","","","","","",""
"common.start_date","Start date","","","","","","",""
"common.end_date","End date","","","","","","",""
"common.apply","Apply","","","","","","",""
"common.viewAll","View All","","","","","","",""
"common.ageYears","{{age}} years old","","","","","","",""
"common.ageUnknown","Age unknown","","","","","","",""
"common.noClass","No class assigned","","","","","","",""
"common.connectionError","Connection error. Please check your internet.","","","","","","",""
"common.loading","Loading...","","","","","","",""
"common.error","Error","","","","","","",""
"common.success","Success","","","","","","",""
"common.cancel","Cancel","","","","","","",""
"common.optional","Optional","","","","","","",""
"common.add","Add","","","","","","",""
"common.record","Record","","","","","","",""
"common.uploading","Uploading...","","","","","","",""
"common.important","Important","","","","","","",""
"common.not_allowed","Not allowed","","","","","","",""
"common.info","Information","","","","","","",""
"common.confirm","Are you sure?","","","","","","",""
"common.yes","Yes","","","","","","",""
"common.no","No","","","","","","",""
"common.ok","OK","","","","","","",""
"common.close","Close","","","","","","",""
"common.retry","Retry","","","","","","",""
"common.refresh","Refresh","","","","","","",""
"common.upgrade","Upgrade","","","","","","",""
"common.save","Save","","","","","","",""
"common.submit","Submit","","","","","","",""
"common.continue","Continue","","","","","","",""
"common.back","Back","","","","","","",""
"common.next","Next","","","","","","",""
"common.done","Done","","","","","","",""
"common.school_stats_today","📊 School Stats Today","","","","","","",""
"common.school_stats_content","Current Status:

👥 Students Present: {{studentsPresent}}/{{totalStudents}} ({{studentsPercentage}}%)
👨‍🏫 Teachers Present: {{teachersPresent}}/{{totalTeachers}} ({{teachersPercentage}}%)
📚 Active Classes: {{activeClasses}}
🍽️ Lunch Orders: {{lunchOrders}}
🚌 Bus Routes: All on time

Last updated: {{lastUpdated}}","","","","","","",""
"common.view_details","View Details","","","","","","",""
"common.quick_settings_content","🔧 Quick Settings","","","","","","",""
"common.quick_settings_description","Fast access to frequently used settings:

⚙️ School Profile
📋 Class Schedules
🎨 Theme Settings
🔔 Notification Preferences
💾 Backup & Sync","","","","","","",""
"common.whatsapp_connected","WhatsApp Connected!","","","","","","",""
"common.whatsapp_updates_enabled","You can now receive school updates via WhatsApp.","","","","","","",""
"common.menu","Menu","","","","","","",""
"common.my_profile","My Profile","","","","","","",""
"common.account_settings_subtitle","Account settings, profile picture & biometrics","","","","","","",""
"common.school_settings_modal_subtitle","Configure school preferences & policies","","","","","","",""
"common.classes","classes","","","","","","",""
"common.students","students","","","","","","",""
"common.email","Email","","","","","","",""
"common.status","Status","","","","","","",""
"common.go_now","Go now","","","","","","",""
"navigation.dashboard","Dashboard","","","","","","",""
"navigation.profile","Profile","","","","","","",""
"navigation.settings","Settings","","","","","","",""
"navigation.account","Account","","","","","","",""
"navigation.logout","Sign Out","","","","","","",""
"navigation.back","Back","","","","","","",""
"navigation.next","Next","","","","","","",""
"navigation.cancel","Cancel","","","","","","",""
"navigation.save","Save","","","","","","",""
"navigation.edit","Edit","","","","","","",""
"navigation.delete","Delete","","","","","","",""
"navigation.add","Add","","","","","","",""
"navigation.search","Search","","","","","","",""
"navigation.retry","Retry","","","","","","",""
"navigation.close","Close","","","","","","",""
"navigation.switch_account","Switch account","","","","","","",""
"auth.signIn","Sign In","","","","","","",""
"auth.signUp","Sign Up","","","","","","",""
"auth.signOut","Sign Out","","","","","","",""
"auth.forgotPassword","Forgot Password","","","","","","",""
"auth.resetPassword","Reset Password","","","","","","",""
"auth.email","Email","","","","","","",""
"auth.password","Password","","","","","","",""
"auth.confirmPassword","Confirm Password","","","","","","",""
"auth.firstName","First Name","","","","","","",""
"auth.lastName","Last Name","","","","","","",""
"auth.loading","Loading...","","","","","","",""
"auth.signingIn","Signing in...","","","","","","",""
"auth.signingUp","Creating account...","","","","","","",""
"auth.invalidCredentials","Invalid email or password","","","","","","",""
"auth.accountCreated","Account created successfully","","","","","","",""
"auth.passwordResetSent","Password reset link sent to your email","","","","","","",""
"auth.remember_me","Remember me","","","","","","",""
"auth.dont_have_account","Don't have an account?","","","","","","",""
"auth.sign_in.enter_email_password","Please enter email and password","","","","","","",""
"auth.sign_in.failed","Sign In Failed","","","","","","",""
"auth.sign_in.signing_in","Signing In...","","","","","","",""
"auth.sign_in.cta","Sign In","","","","","","",""
"auth.sign_in.no_saved_credentials","No saved credentials found. Please sign in with your password.","","","","","","",""
"auth.biometric.prompt","Sign in to EduDash Pro","","","","","","",""
"auth.biometric.use_face_id","Use Face ID","","","","","","",""
"auth.biometric.use_fingerprint","Use Fingerprint","","","","","","",""
"auth.biometric.use_biometric","Use Biometric","","","","","","",""
"auth.biometric.enabled_for","Biometric login enabled","","","","","","",""
"auth.biometric.authenticating","Authenticating","","","","","","",""
"auth.biometric.authenticating_face","Authenticating with Face ID","","","","","","",""
"auth.biometric.authenticating_fingerprint","Authenticating with Fingerprint","","","","","","",""
"auth.biometric.please_verify","Please verify your identity","","","","","","",""
"auth.biometric_not_available.title","Biometric Not Available","","","","","","",""
"auth.biometric_not_available.desc","Please use your password to sign in.","","","","","","",""
"auth.biometric_failed.title","Authentication Failed","","","","","","",""
"auth.biometric_failed.desc","Biometric authentication failed","","","","","","",""
"auth.biometric_failed.unexpected","An error occurred during biometric authentication","","","","","","",""
"auth.oauth.failed_start","Failed to start social login","","","","","","",""
"auth.oauth.config_error","OAuth configuration error. Please contact support.","","","","","","",""
"auth.oauth.unavailable","Sign-in Unavailable","","","","","","",""
"auth.oauth.error","Sign-in Error","","","","","","",""
"auth.sign_up_parent","Sign up as Parent","","","","","","",""
"auth.sign_up_teacher","Sign up as Teacher","","","","","","",""
"auth.school_register_q","Looking to register a school?","","","","","","",""
"roles.parent","Parent","","","","","","",""
"roles.teacher","Teacher","","","","","","",""
"roles.principal","Principal","","","","","","",""
"roles.admin","Administrator","","","","","","",""
